year,country,region,avg_temperature_c,rainfall_mm,drought_index,flood_risk_score,heatwave_days,soil_moisture_percent,climate_risk_level
2020,Yemen,Middle East,25.67,377.6,0.464,0.083,37,21.01,Moderate
2021,Yemen,Middle East,25.14,340.4,0.608,0.21,26,5.0,Moderate
2022,Yemen,Middle East,25.3,560.5,0.385,0.302,22,31.83,Moderate
2023,Yemen,Middle East,22.85,494.9,0.331,0.249,12,10.67,Moderate
2024,Yemen,Middle East,24.69,243.1,0.561,0.204,31,5.0,Moderate
2025,Yemen,Middle East,24.33,355.7,0.524,0.081,34,5.25,Moderate
2026,Yemen,Middle East,24.38,229.3,0.607,0.245,12,5.0,Moderate
2027,Yemen,Middle East,25.91,608.8,0.27,0.377,5,30.57,Moderate
2028,Yemen,Middle East,24.17,463.8,0.533,0.226,0,15.23,Moderate
2029,Yemen,Middle East,24.5,307.1,0.783,0.142,28,5.0,Moderate
2030,Yemen,Middle East,22.74,312.1,0.562,0.194,11,5.0,Moderate
2031,Yemen,Middle East,24.91,511.2,0.464,0.377,20,14.36,Moderate
2032,Yemen,Middle East,23.97,372.7,0.528,0.194,1,5.0,Moderate
2033,Yemen,Middle East,25.39,529.4,0.458,0.276,14,11.99,Moderate
2034,Yemen,Middle East,24.17,80.0,0.759,0.041,14,5.0,Moderate
2035,Yemen,Middle East,25.46,353.8,0.617,0.319,22,5.0,Moderate
2036,Yemen,Middle East,25.18,197.5,0.65,0.069,16,6.57,Moderate
2037,Yemen,Middle East,27.37,561.0,0.703,0.278,17,11.94,Moderate
2038,Yemen,Middle East,25.98,527.4,0.403,0.381,15,13.67,Moderate
2039,Yemen,Middle East,23.2,285.3,0.614,0.154,23,6.43,Moderate
2040,Yemen,Middle East,23.9,525.7,0.412,0.354,17,26.96,Moderate
2041,Yemen,Middle East,25.51,565.3,0.624,0.21,25,22.5,Moderate
2042,Yemen,Middle East,24.34,291.9,0.636,0.13,9,5.0,Moderate
2043,Yemen,Middle East,21.91,675.5,0.184,0.457,0,36.61,Moderate
2044,Yemen,Middle East,27.11,275.0,0.739,0.083,21,5.0,Moderate
2045,Yemen,Middle East,26.38,245.7,0.747,0.111,16,5.0,Moderate
2046,Yemen,Middle East,26.16,418.5,0.517,0.23,25,5.11,Moderate
2047,Yemen,Middle East,24.82,223.4,0.62,0.033,44,6.12,Moderate
2048,Yemen,Middle East,26.08,293.7,0.551,0.114,27,5.0,Moderate
2049,Yemen,Middle East,24.74,505.5,0.402,0.262,40,22.31,Moderate
2050,Yemen,Middle East,25.85,283.1,0.698,0.145,26,5.0,Moderate
1961,Kazakhstan,Central Asia,11.97,461.0,0.0,0.233,0,25.78,Low
1962,Kazakhstan,Central Asia,12.31,465.9,0.0,0.183,0,22.63,Low
1963,Kazakhstan,Central Asia,14.59,567.5,0.0,0.254,0,24.11,Low
1964,Kazakhstan,Central Asia,12.12,186.8,0.117,0.075,0,10.92,Low
1965,Kazakhstan,Central Asia,13.22,375.7,0.0,0.253,0,23.82,Low
1966,Kazakhstan,Central Asia,12.15,440.2,0.029,0.208,0,8.18,Low
1967,Kazakhstan,Central Asia,12.73,420.8,0.08,0.276,0,15.52,Low
1968,Kazakhstan,Central Asia,13.07,211.6,0.084,0.153,0,22.81,Low
1969,Kazakhstan,Central Asia,12.2,80.0,0.123,0.086,0,5.03,Low
1970,Kazakhstan,Central Asia,12.01,405.5,0.0,0.314,0,24.33,Low
1971,Kazakhstan,Central Asia,13.52,325.6,0.088,0.073,0,21.56,Low
1972,Kazakhstan,Central Asia,12.18,259.3,0.008,0.092,0,12.91,Low
1973,Kazakhstan,Central Asia,12.24,472.2,0.0,0.377,0,28.39,Low
1974,Kazakhstan,Central Asia,12.11,342.8,0.0,0.151,0,21.45,Low
1975,Kazakhstan,Central Asia,13.16,138.9,0.203,0.0,0,6.12,Low
1976,Kazakhstan,Central Asia,14.4,80.0,0.321,0.024,0,5.0,Low
1977,Kazakhstan,Central Asia,15.1,169.4,0.262,0.095,0,5.0,Low
1978,Kazakhstan,Central Asia,12.43,732.9,0.0,0.157,0,33.11,Low
1979,Kazakhstan,Central Asia,15.9,465.6,0.142,0.34,0,20.52,Low
1980,Kazakhstan,Central Asia,12.14,380.2,0.0,0.133,0,12.0,Low
1981,Kazakhstan,Central Asia,14.66,320.9,0.067,0.187,0,9.97,Low
1982,Kazakhstan,Central Asia,12.51,310.4,0.0,0.137,0,13.83,Low
1983,Kazakhstan,Central Asia,12.35,536.8,0.0,0.165,0,21.18,Low
1984,Kazakhstan,Central Asia,12.52,271.5,0.018,0.05,0,10.2,Low
1985,Kazakhstan,Central Asia,13.37,442.3,0.008,0.146,0,20.98,Low
1986,Kazakhstan,Central Asia,14.15,294.3,0.124,0.234,2,14.64,Low
1987,Kazakhstan,Central Asia,14.27,660.4,0.0,0.318,0,38.72,Low
1988,Kazakhstan,Central Asia,12.35,468.8,0.0,0.193,0,20.66,Low
1989,Kazakhstan,Central Asia,12.32,549.3,0.0,0.2,0,35.48,Low
1990,Kazakhstan,Central Asia,12.42,256.5,0.101,0.224,0,16.43,Low
1991,Kazakhstan,Central Asia,13.41,519.3,0.087,0.377,0,27.25,Low
1992,Kazakhstan,Central Asia,13.31,300.0,0.063,0.245,0,14.67,Low
1993,Kazakhstan,Central Asia,12.44,367.6,0.0,0.223,0,20.3,Low
1994,Kazakhstan,Central Asia,13.92,611.6,0.0,0.329,0,37.7,Low
1995,Kazakhstan,Central Asia,16.33,183.2,0.435,0.0,0,7.8,Low
1996,Kazakhstan,Central Asia,13.02,382.5,0.0,0.172,0,27.14,Low
1997,Kazakhstan,Central Asia,13.13,420.1,0.024,0.155,0,20.78,Low
1998,Kazakhstan,Central Asia,14.34,433.2,0.106,0.071,0,22.87,Low
1999,Kazakhstan,Central Asia,13.01,277.9,0.134,0.224,0,19.28,Low
2000,Kazakhstan,Central Asia,14.5,683.8,0.0,0.286,0,30.45,Low
2001,Kazakhstan,Central Asia,12.86,142.8,0.085,0.167,0,5.0,Low
2002,Kazakhstan,Central Asia,15.94,583.4,0.0,0.362,0,29.27,Low
2003,Kazakhstan,Central Asia,14.17,544.4,0.0,0.317,0,32.62,Low
2004,Kazakhstan,Central Asia,13.03,654.1,0.0,0.376,0,38.2,Low
2005,Kazakhstan,Central Asia,13.09,95.9,0.213,0.0,0,5.0,Low
2006,Kazakhstan,Central Asia,13.19,211.0,0.079,0.254,0,5.0,Low
2007,Kazakhstan,Central Asia,15.48,588.7,0.0,0.298,0,30.91,Low
2008,Kazakhstan,Central Asia,12.32,80.0,0.228,0.064,0,5.0,Low
2009,Kazakhstan,Central Asia,13.06,93.0,0.217,0.0,0,5.0,Low
2010,Kazakhstan,Central Asia,13.21,271.9,0.0,0.061,0,6.01,Low
2011,Kazakhstan,Central Asia,13.88,380.7,0.008,0.229,0,20.84,Low
2012,Kazakhstan,Central Asia,13.59,604.8,0.0,0.32,0,38.4,Low
2013,Kazakhstan,Central Asia,12.15,320.4,0.0,0.097,0,16.25,Low
2014,Kazakhstan,Central Asia,13.47,252.7,0.0,0.011,0,13.9,Low
2015,Kazakhstan,Central Asia,13.85,399.8,0.128,0.098,0,24.53,Low
2016,Kazakhstan,Central Asia,13.24,425.1,0.0,0.308,0,11.99,Low
2017,Kazakhstan,Central Asia,14.83,420.6,0.09,0.161,0,22.36,Low
2018,Kazakhstan,Central Asia,15.13,321.5,0.041,0.134,0,15.19,Low
2019,Kazakhstan,Central Asia,13.95,80.0,0.299,0.156,0,5.0,Low
2020,Kazakhstan,Central Asia,14.34,203.2,0.194,0.012,0,5.0,Low
2021,Kazakhstan,Central Asia,11.49,577.2,0.0,0.23,0,23.95,Low
2022,Kazakhstan,Central Asia,13.59,379.9,0.122,0.128,0,17.4,Low
2023,Kazakhstan,Central Asia,15.32,298.4,0.166,0.279,0,21.5,Low
2024,Kazakhstan,Central Asia,13.63,528.9,0.0,0.424,0,31.61,Low
2025,Kazakhstan,Central Asia,13.27,169.2,0.112,0.145,0,5.0,Low
2026,Kazakhstan,Central Asia,16.9,313.9,0.06,0.22,0,6.46,Low
2027,Kazakhstan,Central Asia,16.37,372.0,0.2,0.14,7,5.0,Low
2028,Kazakhstan,Central Asia,14.77,279.4,0.16,0.295,0,18.67,Low
2029,Kazakhstan,Central Asia,15.59,366.1,0.102,0.204,0,10.53,Low
2030,Kazakhstan,Central Asia,11.57,320.0,0.052,0.228,0,13.0,Low
2031,Kazakhstan,Central Asia,13.31,126.1,0.065,0.055,0,12.93,Low
2032,Kazakhstan,Central Asia,13.71,379.0,0.0,0.168,0,9.27,Low
2033,Kazakhstan,Central Asia,14.01,137.5,0.134,0.202,0,13.14,Low
2034,Kazakhstan,Central Asia,13.73,376.5,0.0,0.231,0,17.3,Low
2035,Kazakhstan,Central Asia,11.27,569.9,0.0,0.401,0,21.6,Low
2036,Kazakhstan,Central Asia,14.81,305.0,0.157,0.173,0,10.62,Low
2037,Kazakhstan,Central Asia,15.02,162.6,0.207,0.013,0,5.0,Low
2038,Kazakhstan,Central Asia,16.31,329.7,0.11,0.118,0,16.93,Low
2039,Kazakhstan,Central Asia,13.46,216.9,0.253,0.117,0,5.0,Low
2040,Kazakhstan,Central Asia,13.38,445.1,0.144,0.172,0,7.91,Low
2041,Kazakhstan,Central Asia,11.22,326.3,0.0,0.075,0,14.99,Low
2042,Kazakhstan,Central Asia,14.11,623.6,0.0,0.408,0,23.04,Low
2043,Kazakhstan,Central Asia,15.56,536.1,0.113,0.224,0,25.77,Low
2044,Kazakhstan,Central Asia,13.76,325.5,0.0,0.174,0,9.15,Low
2045,Kazakhstan,Central Asia,17.08,464.5,0.096,0.256,0,18.38,Low
2046,Kazakhstan,Central Asia,14.22,287.1,0.05,0.096,0,14.44,Low
2047,Kazakhstan,Central Asia,14.72,355.4,0.0,0.294,0,16.5,Low
2048,Kazakhstan,Central Asia,12.93,292.2,0.015,0.057,0,15.8,Low
2049,Kazakhstan,Central Asia,14.93,472.6,0.0,0.257,0,27.71,Low
2050,Kazakhstan,Central Asia,12.23,579.3,0.0,0.309,0,22.02,Low
1961,Uzbekistan,Central Asia,12.92,416.9,0.0,0.063,0,15.09,Low
1962,Uzbekistan,Central Asia,9.02,242.0,0.0,0.0,0,5.0,Low
1963,Uzbekistan,Central Asia,13.33,429.3,0.0,0.273,0,24.81,Low
1964,Uzbekistan,Central Asia,12.69,216.7,0.041,0.063,0,20.48,Low
1965,Uzbekistan,Central Asia,11.89,286.0,0.134,0.178,0,5.64,Low
1966,Uzbekistan,Central Asia,13.47,652.5,0.0,0.335,0,39.96,Low
1967,Uzbekistan,Central Asia,14.52,285.1,0.135,0.129,0,11.81,Low
1968,Uzbekistan,Central Asia,12.55,222.2,0.228,0.103,0,5.0,Low
1969,Uzbekistan,Central Asia,12.01,537.3,0.0,0.199,0,20.08,Low
1970,Uzbekistan,Central Asia,13.36,181.8,0.073,0.09,0,7.73,Low
1971,Uzbekistan,Central Asia,11.58,239.1,0.0,0.073,0,9.53,Low
1972,Uzbekistan,Central Asia,12.41,442.2,0.0,0.191,0,14.24,Low
1973,Uzbekistan,Central Asia,14.68,500.1,0.047,0.224,0,13.9,Low
1974,Uzbekistan,Central Asia,13.31,545.3,0.0,0.255,0,22.18,Low
1975,Uzbekistan,Central Asia,11.0,230.4,0.065,0.189,0,11.38,Low
1976,Uzbekistan,Central Asia,11.11,445.4,0.0,0.212,0,22.23,Low
1977,Uzbekistan,Central Asia,13.48,275.4,0.174,0.22,0,7.28,Low
1978,Uzbekistan,Central Asia,14.34,253.1,0.054,0.25,0,12.79,Low
1979,Uzbekistan,Central Asia,11.38,542.5,0.0,0.34,0,33.37,Low
1980,Uzbekistan,Central Asia,13.88,262.1,0.068,0.174,0,14.11,Low
1981,Uzbekistan,Central Asia,14.96,394.5,0.151,0.223,0,15.99,Low
1982,Uzbekistan,Central Asia,15.64,374.9,0.073,0.257,0,22.86,Low
1983,Uzbekistan,Central Asia,13.79,178.7,0.159,0.096,0,5.0,Low
1984,Uzbekistan,Central Asia,14.02,504.6,0.0,0.331,0,23.88,Low
1985,Uzbekistan,Central Asia,10.87,439.6,0.0,0.269,0,20.78,Low
1986,Uzbekistan,Central Asia,15.97,80.0,0.412,0.011,0,5.0,Low
1987,Uzbekistan,Central Asia,12.78,394.4,0.0,0.269,0,17.2,Low
1988,Uzbekistan,Central Asia,12.37,226.3,0.023,0.12,2,5.0,Low
1989,Uzbekistan,Central Asia,13.2,525.5,0.0,0.254,0,37.75,Low
1990,Uzbekistan,Central Asia,15.34,118.7,0.284,0.021,0,5.0,Low
1991,Uzbekistan,Central Asia,16.19,293.0,0.22,0.16,0,19.76,Low
1992,Uzbekistan,Central Asia,13.71,407.9,0.0,0.284,0,20.62,Low
1993,Uzbekistan,Central Asia,14.77,358.7,0.084,0.25,0,19.64,Low
1994,Uzbekistan,Central Asia,13.65,472.1,0.0,0.264,0,20.67,Low
1995,Uzbekistan,Central Asia,12.37,107.1,0.195,0.101,0,5.0,Low
1996,Uzbekistan,Central Asia,15.4,614.3,0.0,0.409,0,34.62,Low
1997,Uzbekistan,Central Asia,12.9,434.0,0.015,0.205,0,25.38,Low
1998,Uzbekistan,Central Asia,15.51,567.6,0.0,0.195,0,33.03,Low
1999,Uzbekistan,Central Asia,15.24,489.9,0.0,0.349,0,22.28,Low
2000,Uzbekistan,Central Asia,14.44,348.1,0.045,0.132,0,13.63,Low
2001,Uzbekistan,Central Asia,15.91,144.5,0.277,0.017,0,5.0,Low
2002,Uzbekistan,Central Asia,16.42,259.8,0.295,0.0,0,10.24,Low
2003,Uzbekistan,Central Asia,13.55,604.3,0.0,0.348,0,36.71,Low
2004,Uzbekistan,Central Asia,12.8,571.7,0.0,0.156,5,38.28,Low
2005,Uzbekistan,Central Asia,11.55,250.9,0.04,0.065,0,13.58,Low
2006,Uzbekistan,Central Asia,16.5,80.0,0.315,0.087,0,5.0,Low
2007,Uzbekistan,Central Asia,13.3,316.0,0.045,0.216,0,5.0,Low
2008,Uzbekistan,Central Asia,15.21,304.0,0.093,0.1,0,19.59,Low
2009,Uzbekistan,Central Asia,12.97,310.0,0.0,0.144,0,5.0,Low
2010,Uzbekistan,Central Asia,15.73,434.6,0.043,0.147,0,18.82,Low
2011,Uzbekistan,Central Asia,13.06,490.2,0.0,0.201,0,23.16,Low
2012,Uzbekistan,Central Asia,12.49,508.4,0.0,0.276,0,25.01,Low
2013,Uzbekistan,Central Asia,13.69,421.3,0.0,0.171,0,21.28,Low
2014,Uzbekistan,Central Asia,13.32,80.0,0.136,0.02,0,5.0,Low
2015,Uzbekistan,Central Asia,14.69,295.4,0.265,0.031,0,5.0,Low
2016,Uzbekistan,Central Asia,13.93,718.7,0.0,0.45,0,36.02,Low
2017,Uzbekistan,Central Asia,14.76,409.9,0.0,0.246,0,7.12,Low
2018,Uzbekistan,Central Asia,13.68,408.9,0.0,0.268,0,24.84,Low
2019,Uzbekistan,Central Asia,13.25,407.5,0.0,0.307,0,17.05,Low
2020,Uzbekistan,Central Asia,13.36,416.5,0.0,0.142,0,7.88,Low
2021,Uzbekistan,Central Asia,16.53,80.0,0.25,0.011,0,5.0,Low
2022,Uzbekistan,Central Asia,14.37,311.7,0.188,0.004,0,8.39,Low
2023,Uzbekistan,Central Asia,11.74,343.9,0.007,0.423,0,24.2,Low
2024,Uzbekistan,Central Asia,13.51,555.0,0.0,0.266,0,28.93,Low
2025,Uzbekistan,Central Asia,14.27,357.6,0.167,0.262,0,16.62,Low
2026,Uzbekistan,Central Asia,16.38,86.6,0.394,0.0,0,5.0,Low
2027,Uzbekistan,Central Asia,15.42,418.8,0.108,0.289,0,18.21,Low
2028,Uzbekistan,Central Asia,13.1,221.4,0.221,0.259,0,11.16,Low
2029,Uzbekistan,Central Asia,17.13,155.3,0.433,0.073,0,5.0,Moderate
2030,Uzbekistan,Central Asia,14.2,216.5,0.088,0.027,0,5.0,Low
2031,Uzbekistan,Central Asia,15.76,436.8,0.126,0.207,0,28.15,Low
2032,Uzbekistan,Central Asia,12.89,551.4,0.0,0.098,0,19.05,Low
2033,Uzbekistan,Central Asia,11.42,427.3,0.0,0.211,0,26.87,Low
2034,Uzbekistan,Central Asia,12.62,451.1,0.0,0.291,0,13.45,Low
2035,Uzbekistan,Central Asia,10.43,425.7,0.0,0.21,0,24.89,Low
2036,Uzbekistan,Central Asia,16.88,366.2,0.173,0.16,2,26.02,Low
2037,Uzbekistan,Central Asia,14.63,461.5,0.023,0.273,0,21.34,Low
2038,Uzbekistan,Central Asia,13.28,80.0,0.172,0.088,0,5.0,Low
2039,Uzbekistan,Central Asia,14.95,367.8,0.11,0.051,0,19.85,Low
2040,Uzbekistan,Central Asia,14.65,182.8,0.266,0.099,0,5.0,Low
2041,Uzbekistan,Central Asia,15.19,536.1,0.0,0.463,0,37.71,Low
2042,Uzbekistan,Central Asia,15.91,326.5,0.18,0.056,0,13.87,Low
2043,Uzbekistan,Central Asia,14.13,355.0,0.164,0.171,0,12.56,Low
2044,Uzbekistan,Central Asia,13.44,109.2,0.232,0.21,0,5.0,Low
2045,Uzbekistan,Central Asia,15.51,512.7,0.025,0.345,0,19.53,Low
2046,Uzbekistan,Central Asia,15.49,450.4,0.0,0.184,0,18.75,Low
2047,Uzbekistan,Central Asia,14.67,439.1,0.073,0.236,0,18.38,Low
2048,Uzbekistan,Central Asia,17.18,219.9,0.328,0.11,1,5.0,Low
2049,Uzbekistan,Central Asia,14.06,226.2,0.244,0.053,0,5.0,Low
2050,Uzbekistan,Central Asia,13.52,385.8,0.004,0.187,0,31.8,Low
1961,Turkmenistan,Central Asia,11.76,499.8,0.0,0.199,0,11.19,Low
1962,Turkmenistan,Central Asia,13.19,274.6,0.151,0.189,0,21.53,Low
1963,Turkmenistan,Central Asia,13.75,476.5,0.0,0.306,0,25.82,Low
1964,Turkmenistan,Central Asia,13.81,500.3,0.0,0.222,0,28.97,Low
1965,Turkmenistan,Central Asia,13.0,408.3,0.003,0.206,0,22.15,Low
1966,Turkmenistan,Central Asia,12.8,617.1,0.0,0.257,0,34.3,Low
1967,Turkmenistan,Central Asia,13.65,208.5,0.139,0.236,0,8.11,Low
1968,Turkmenistan,Central Asia,13.45,272.0,0.142,0.126,7,12.4,Low
1969,Turkmenistan,Central Asia,12.83,384.0,0.0,0.118,0,19.84,Low
1970,Turkmenistan,Central Asia,11.29,490.9,0.0,0.188,0,20.89,Low
1971,Turkmenistan,Central Asia,12.62,378.7,0.0,0.199,0,18.66,Low
1972,Turkmenistan,Central Asia,11.82,555.7,0.0,0.338,0,29.43,Low
1973,Turkmenistan,Central Asia,12.42,244.1,0.163,0.015,0,9.61,Low
1974,Turkmenistan,Central Asia,13.27,167.5,0.054,0.232,0,5.0,Low
1975,Turkmenistan,Central Asia,13.68,399.3,0.0,0.224,0,11.9,Low
1976,Turkmenistan,Central Asia,15.41,337.7,0.0,0.206,0,23.38,Low
1977,Turkmenistan,Central Asia,12.64,436.9,0.041,0.211,0,19.18,Low
1978,Turkmenistan,Central Asia,14.24,345.6,0.045,0.174,0,19.89,Low
1979,Turkmenistan,Central Asia,13.69,295.6,0.038,0.136,0,7.46,Low
1980,Turkmenistan,Central Asia,14.9,338.0,0.099,0.25,0,6.08,Low
1981,Turkmenistan,Central Asia,14.05,354.6,0.1,0.177,0,10.67,Low
1982,Turkmenistan,Central Asia,12.17,301.2,0.021,0.212,0,13.3,Low
1983,Turkmenistan,Central Asia,11.33,317.5,0.151,0.124,0,8.85,Low
1984,Turkmenistan,Central Asia,13.79,285.4,0.122,0.158,0,19.6,Low
1985,Turkmenistan,Central Asia,12.8,487.1,0.0,0.179,0,25.43,Low
1986,Turkmenistan,Central Asia,12.27,381.0,0.0,0.288,0,30.15,Low
1987,Turkmenistan,Central Asia,11.95,711.1,0.0,0.289,0,37.98,Low
1988,Turkmenistan,Central Asia,13.68,375.7,0.0,0.162,0,5.0,Low
1989,Turkmenistan,Central Asia,15.31,261.9,0.182,0.106,0,15.79,Low
1990,Turkmenistan,Central Asia,13.03,777.3,0.0,0.36,0,29.81,Low
1991,Turkmenistan,Central Asia,14.25,416.2,0.0,0.266,0,22.19,Low
1992,Turkmenistan,Central Asia,13.44,508.4,0.0,0.229,0,20.77,Low
1993,Turkmenistan,Central Asia,12.03,444.7,0.005,0.334,0,34.99,Low
1994,Turkmenistan,Central Asia,14.48,449.7,0.0,0.159,0,31.12,Low
1995,Turkmenistan,Central Asia,12.3,435.7,0.0,0.231,0,17.33,Low
1996,Turkmenistan,Central Asia,13.66,173.7,0.067,0.025,0,6.59,Low
1997,Turkmenistan,Central Asia,13.24,408.8,0.0,0.238,0,21.91,Low
1998,Turkmenistan,Central Asia,14.74,138.0,0.269,0.068,0,6.7,Low
1999,Turkmenistan,Central Asia,12.41,322.1,0.0,0.149,0,16.28,Low
2000,Turkmenistan,Central Asia,14.17,233.9,0.124,0.212,0,5.0,Low
2001,Turkmenistan,Central Asia,12.71,407.2,0.037,0.151,0,15.31,Low
2002,Turkmenistan,Central Asia,13.12,403.5,0.0,0.249,0,20.15,Low
2003,Turkmenistan,Central Asia,9.39,427.0,0.0,0.152,0,28.76,Low
2004,Turkmenistan,Central Asia,16.28,396.0,0.252,0.207,0,17.32,Low
2005,Turkmenistan,Central Asia,14.45,252.9,0.106,0.031,0,5.89,Low
2006,Turkmenistan,Central Asia,12.89,308.2,0.083,0.101,0,17.64,Low
2007,Turkmenistan,Central Asia,12.48,497.3,0.0,0.242,0,22.54,Low
2008,Turkmenistan,Central Asia,13.25,520.9,0.0,0.406,0,31.39,Low
2009,Turkmenistan,Central Asia,14.72,166.5,0.092,0.091,0,21.66,Low
2010,Turkmenistan,Central Asia,11.61,105.1,0.0,0.185,0,5.0,Low
2011,Turkmenistan,Central Asia,13.73,233.7,0.088,0.134,0,14.73,Low
2012,Turkmenistan,Central Asia,16.04,517.2,0.0,0.228,0,21.39,Low
2013,Turkmenistan,Central Asia,12.58,544.4,0.0,0.395,0,26.55,Low
2014,Turkmenistan,Central Asia,14.05,202.0,0.141,0.136,0,7.47,Low
2015,Turkmenistan,Central Asia,16.62,399.2,0.203,0.148,0,14.73,Low
2016,Turkmenistan,Central Asia,14.75,643.5,0.0,0.359,3,46.95,Low
2017,Turkmenistan,Central Asia,14.16,416.4,0.0,0.185,0,18.98,Low
2018,Turkmenistan,Central Asia,14.63,577.4,0.0,0.13,0,32.39,Low
2019,Turkmenistan,Central Asia,13.56,509.8,0.0,0.33,0,13.91,Low
2020,Turkmenistan,Central Asia,15.62,204.4,0.16,0.19,0,9.6,Low
2021,Turkmenistan,Central Asia,13.6,319.6,0.0,0.307,0,22.83,Low
2022,Turkmenistan,Central Asia,11.75,355.6,0.0,0.212,0,14.61,Low
2023,Turkmenistan,Central Asia,13.65,366.7,0.0,0.163,0,5.0,Low
2024,Turkmenistan,Central Asia,12.97,496.6,0.0,0.315,0,24.6,Low
2025,Turkmenistan,Central Asia,13.81,415.4,0.0,0.276,0,20.87,Low
2026,Turkmenistan,Central Asia,13.86,80.0,0.192,0.171,0,5.0,Low
2027,Turkmenistan,Central Asia,15.62,139.9,0.426,0.066,0,10.54,Low
2028,Turkmenistan,Central Asia,15.04,80.0,0.22,0.027,0,5.0,Low
2029,Turkmenistan,Central Asia,14.54,378.1,0.038,0.132,0,13.0,Low
2030,Turkmenistan,Central Asia,14.24,388.5,0.0,0.237,0,12.42,Low
2031,Turkmenistan,Central Asia,12.99,395.3,0.0,0.074,0,20.95,Low
2032,Turkmenistan,Central Asia,11.66,196.6,0.166,0.16,0,9.38,Low
2033,Turkmenistan,Central Asia,14.43,457.9,0.008,0.276,0,19.45,Low
2034,Turkmenistan,Central Asia,15.27,464.6,0.042,0.279,0,27.06,Low
2035,Turkmenistan,Central Asia,14.2,149.2,0.068,0.086,0,8.89,Low
2036,Turkmenistan,Central Asia,13.71,115.4,0.232,0.18,0,5.0,Low
2037,Turkmenistan,Central Asia,14.93,350.0,0.189,0.245,0,8.31,Low
2038,Turkmenistan,Central Asia,14.29,636.7,0.0,0.27,0,28.94,Low
2039,Turkmenistan,Central Asia,16.43,622.0,0.031,0.264,0,15.91,Low
2040,Turkmenistan,Central Asia,15.9,440.1,0.0,0.15,0,23.42,Low
2041,Turkmenistan,Central Asia,15.59,233.2,0.238,0.161,0,7.06,Low
2042,Turkmenistan,Central Asia,15.37,491.9,0.07,0.166,0,24.32,Low
2043,Turkmenistan,Central Asia,12.93,277.6,0.0,0.225,0,16.91,Low
2044,Turkmenistan,Central Asia,15.29,227.2,0.112,0.219,0,11.43,Low
2045,Turkmenistan,Central Asia,14.96,80.0,0.362,0.0,4,5.0,Low
2046,Turkmenistan,Central Asia,15.26,366.4,0.171,0.168,0,15.19,Low
2047,Turkmenistan,Central Asia,15.14,249.2,0.055,0.126,0,5.0,Low
2048,Turkmenistan,Central Asia,15.11,365.4,0.158,0.253,1,11.61,Low
2049,Turkmenistan,Central Asia,17.83,80.0,0.442,0.169,0,5.0,Moderate
2050,Turkmenistan,Central Asia,14.51,377.2,0.119,0.054,0,12.07,Low
1961,Kyrgyzstan,Central Asia,14.03,522.1,0.0,0.167,0,25.05,Low
1962,Kyrgyzstan,Central Asia,12.23,373.3,0.0,0.183,0,23.45,Low
1963,Kyrgyzstan,Central Asia,13.3,431.8,0.0,0.184,0,28.82,Low
1964,Kyrgyzstan,Central Asia,13.19,408.5,0.326,0.259,0,13.24,Moderate
1965,Kyrgyzstan,Central Asia,13.97,330.6,0.144,0.218,0,22.85,Low
1966,Kyrgyzstan,Central Asia,14.17,212.4,0.226,0.194,0,15.29,Low
1967,Kyrgyzstan,Central Asia,13.94,336.9,0.007,0.068,0,21.79,Low
1968,Kyrgyzstan,Central Asia,10.6,507.9,0.0,0.286,0,22.3,Low
1969,Kyrgyzstan,Central Asia,14.58,279.4,0.217,0.081,1,5.95,Low
1970,Kyrgyzstan,Central Asia,14.99,492.9,0.148,0.149,0,16.81,Low
1971,Kyrgyzstan,Central Asia,12.6,467.9,0.042,0.2,0,28.24,Low
1972,Kyrgyzstan,Central Asia,13.48,302.2,0.0,0.237,0,7.84,Low
1973,Kyrgyzstan,Central Asia,12.15,572.2,0.0,0.256,0,32.67,Low
1974,Kyrgyzstan,Central Asia,10.9,293.1,0.0,0.272,0,8.17,Low
1975,Kyrgyzstan,Central Asia,12.37,591.5,0.0,0.34,0,34.52,Low
1976,Kyrgyzstan,Central Asia,12.62,419.5,0.0,0.178,0,21.08,Low
1977,Kyrgyzstan,Central Asia,12.86,347.5,0.0,0.267,0,25.37,Low
1978,Kyrgyzstan,Central Asia,12.16,208.0,0.225,0.14,0,12.75,Low
1979,Kyrgyzstan,Central Asia,12.44,335.9,0.135,0.093,0,22.71,Low
1980,Kyrgyzstan,Central Asia,13.33,317.4,0.039,0.307,0,23.85,Low
1981,Kyrgyzstan,Central Asia,12.44,148.7,0.272,0.095,0,5.0,Low
1982,Kyrgyzstan,Central Asia,14.03,315.2,0.195,0.159,0,5.0,Low
1983,Kyrgyzstan,Central Asia,14.21,221.4,0.117,0.042,0,5.0,Low
1984,Kyrgyzstan,Central Asia,16.27,443.8,0.0,0.316,0,9.67,Low
1985,Kyrgyzstan,Central Asia,14.78,559.0,0.0,0.321,0,21.45,Low
1986,Kyrgyzstan,Central Asia,13.74,153.7,0.126,0.127,0,5.58,Low
1987,Kyrgyzstan,Central Asia,12.72,624.0,0.0,0.271,0,27.84,Low
1988,Kyrgyzstan,Central Asia,13.84,329.4,0.064,0.231,0,14.12,Low
1989,Kyrgyzstan,Central Asia,13.9,194.0,0.161,0.17,0,9.43,Low
1990,Kyrgyzstan,Central Asia,12.91,471.2,0.0,0.182,0,21.74,Low
